"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 12 18:32:42 GMT 2024","Thu Sep 12 18:33:01 GMT 2024","18349","Surefire suite","Surefire test","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Thu Sep 12 18:32:18 GMT 2024","Thu Sep 12 18:32:26 GMT 2024","8276","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Thu Sep 12 18:31:04 GMT 2024","Thu Sep 12 18:31:14 GMT 2024","9820","Surefire suite","Surefire test","com.teamcity.api.SetupAgentTest","com.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Thu Sep 12 18:32:26 GMT 2024","Thu Sep 12 18:32:35 GMT 2024","8593","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Thu Sep 12 18:31:30 GMT 2024","Thu Sep 12 18:32:17 GMT 2024","47047","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Thu Sep 12 18:32:35 GMT 2024","Thu Sep 12 18:32:42 GMT 2024","7449","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Thu Sep 12 18:29:05 GMT 2024","Thu Sep 12 18:29:56 GMT 2024","51711","Surefire suite","Surefire test","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
