"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 08 09:19:20 GMT 2024","Sun Sep 08 09:19:29 GMT 2024","9088","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sun Sep 08 09:18:32 GMT 2024","Sun Sep 08 09:19:20 GMT 2024","47164","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Sep 08 09:16:11 GMT 2024","Sun Sep 08 09:17:01 GMT 2024","50024","Surefire suite","Surefire test","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Sep 08 09:19:29 GMT 2024","Sun Sep 08 09:19:40 GMT 2024","11340","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sun Sep 08 09:18:10 GMT 2024","Sun Sep 08 09:18:17 GMT 2024","6900","Surefire suite","Surefire test","com.teamcity.api.SetupAgentTest","com.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Sun Sep 08 09:19:41 GMT 2024","Sun Sep 08 09:19:49 GMT 2024","8400","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
"passed","Sun Sep 08 09:19:49 GMT 2024","Sun Sep 08 09:20:05 GMT 2024","15829","Surefire suite","Surefire test","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
