"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 07 20:36:37 GMT 2024","Sat Sep 07 20:36:52 GMT 2024","14185","Surefire suite","Surefire test","com.teamcity.ui.StartBuildTest","com.teamcity.ui.StartBuildTest","userCreatesBuildTypeStepAndStartsBuildTest","User should be able to create build type step and start build",""
"passed","Sat Sep 07 20:36:13 GMT 2024","Sat Sep 07 20:36:20 GMT 2024","7019","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName","User should not be able to create project without name",""
"passed","Sat Sep 07 20:35:28 GMT 2024","Sat Sep 07 20:36:13 GMT 2024","45073","Surefire suite","Surefire test","com.teamcity.ui.CreateProjectTest","com.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Sep 07 20:36:20 GMT 2024","Sat Sep 07 20:36:29 GMT 2024","8139","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Sat Sep 07 20:33:08 GMT 2024","Sat Sep 07 20:33:58 GMT 2024","49869","Surefire suite","Surefire test","com.teamcity.ui.SetupServerTest","com.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sat Sep 07 20:35:06 GMT 2024","Sat Sep 07 20:35:12 GMT 2024","6734","Surefire suite","Surefire test","com.teamcity.api.SetupAgentTest","com.teamcity.api.SetupAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Sat Sep 07 20:36:29 GMT 2024","Sat Sep 07 20:36:37 GMT 2024","8376","Surefire suite","Surefire test","com.teamcity.ui.CreateBuildTypeTest","com.teamcity.ui.CreateBuildTypeTest","userCreatesBuildTypeWithoutName","User should not be able to create build type without name",""
